objID,modelMag_u,modelMag_g,modelMag_r,RA,DEC,type
1237671939804561516,21.46901,20.31421,19.92046,258.213579339506,64.0495184486201,6
1237671939804561514,23.53041,20.34925,19.45041,258.054386960921,64.0318608353534,3
1237671939804561505,21.74025,19.55671,18.74655,258.213639158508,64.0770535953709,3
1237671939804561502,20.64474,19.39141,19.02333,258.14040430495,64.087955881214,6
1237671939804561497,21.27358,19.56205,18.74035,258.140483489958,64.0675769249678,3
1237651311070020097,20.79467,19.67511,19.05443,258.363304439098,64.0036175395329,3
1237651311070019676,23.39051,24.00602,22.63592,258.36249772855,64.0387998070996,6
1237651297648312375,23.144,24.19661,22.60758,258.214082186675,63.9906817142702,3
1237651297648247915,26.34173,22.59287,20.5924,258.214260251617,64.0690943359152,3
1237651297648247905,25.46971,23.04684,21.40387,258.21442648962,64.0845840239956,3
1237651297648247830,22.52276,21.72516,20.42107,258.053599072835,63.9948011831819,3
1237651297648247706,24.03027,22.27454,20.56,258.054008871257,64.0667913264343,6
1237651297648247705,24.67058,22.88501,22.11658,258.214363378164,64.0933220958945,6
1237651297648247369,24.1503,20.96936,20.17037,258.054411478675,64.0319175701172,3
1237651297648247181,20.48357,19.37531,18.98069,258.14045056272,64.0879776170168,6
1237651297648246949,21.5503,20.51687,22.89104,258.213646800873,64.0494443389791,6
1237651297648246942,24.64066,20.01928,19.18384,258.213813336866,64.0770520915619,3
1237651297648246939,22.19811,19.91624,21.43336,258.141408504727,64.0461966891114,6
1237651297648246936,20.54857,19.01567,24.80205,258.14051305031,64.0675627101677,3
1237651297648246913,19.21157,17.19166,16.2393,258.21338938424,64.0731868783271,3
1237651297648246870,19.75769,18.21282,17.61994,258.214207348196,64.1016366143388,6
1237671939804628512,24.74245,24.9955,25.00897,258.362879754093,64.0005146591754,6
1237671939804562619,23.34617,22.79967,22.26254,258.214248459972,64.0844589737157,3
1237671939804562611,25.78228,22.97988,21.91527,258.214101803922,64.0690155744355,6
1237671939804562610,24.73358,22.54807,21.90881,258.213806974422,64.0591860036016,3
1237671939804562606,23.3746,21.77658,20.98555,258.21442649248,64.0569091375568,3
1237651311070020164,22.86908,21.28252,20.44229,258.362919778016,64.0871230186471,3
1237651311070020598,24.84309,24.42011,22.88409,258.362577421923,64.0845087472663,6
1237651297648246922,19.42905,16.94939,16.04286,258.080575388031,64.0356307746613,3
1237651297648246933,21.7784,19.33393,18.35131,258.081199830911,64.0784905239915,3
1237651297648247011,23.27255,22.94026,22.08851,258.242275581028,64.045387765694,3
1237651297648247258,22.38286,19.65987,18.20699,258.161685115067,64.0442893482086,6
1237651297648247309,24.51636,22.14655,21.07351,258.081464183192,64.0057233267442,3
1237651297648247708,24.31355,22.38174,22.23871,258.242247640328,64.0942458313323,6
1237651297648247758,26.12238,21.10188,19.97919,258.242763080383,64.0562930886237,3
1237651297648247790,22.17102,20.78068,20.34554,258.161797016467,64.02661022414,6
1237651297648247907,23.40537,23.24387,21.65117,258.24212802327,64.0824051626881,6
1237651297648312861,22.44907,20.6969,19.91631,258.080741658269,63.9962995388898,6
1237651297648312867,22.07611,21.89296,20.44296,258.242551625709,64.0182721510821,3
1237651311070020225,22.81101,22.08537,21.42942,258.38816652552,64.058848439611,3
1237671939804561469,22.36275,19.70152,18.22557,258.161640752139,64.0443257828303,6
1237671939804561487,18.7973,16.61937,15.65794,258.080537246089,64.0356333943171,3
1237671939804561496,21.33008,19.31363,18.31467,258.081151632912,64.0784814124916,3
1237671939804561661,25.03272,22.70712,21.64545,258.242509785753,64.0562883280978,3
1237671939804561662,24.91867,23.56621,22.82717,258.242355577743,64.0454223644164,6
1237671939804562143,21.80828,20.78633,20.30647,258.161776543751,64.0265942097554,6
1237671939804627962,26.91672,21.91482,20.88764,258.388141907691,64.0589251875074,3
1237671939804627960,23.30756,21.19927,20.5517,258.387139430352,64.0541617035381,3
1237671939804627375,20.52011,18.58753,17.67681,258.38689804285,64.0046836594881,3
