,objID,modelMag_u,modelMag_g,modelMag_r,RA_x,DEC_x,type,bestObjID,RA_y,DEC_y,z,u_g,g_r
364,1.2376719398045624e+18,25.581570000000003,23.56466,21.600089999999998,258.177343114527,63.995989094748495,3.0,,,,,2.016910000000003,1.964570000000002
365,1.2376719398045624e+18,21.626379999999997,21.5202,20.56145,258.036170864614,64.0023270176619,3.0,,,,,0.10617999999999839,0.9587499999999984
367,1.237671939804562e+18,25.14187,24.7311,24.32648,258.035336510234,63.9963594424095,3.0,,,,,0.4107699999999994,0.4046200000000013
368,1.2376512976483126e+18,19.689870000000003,18.327779999999997,17.580370000000002,258.331800571647,63.9930789305754,3.0,,,,,1.3620900000000056,0.747409999999995
369,1.2376719398046285e+18,24.51168,24.33319,23.97454,258.332708026029,64.0911718829494,3.0,,,,,0.17849000000000004,0.35864999999999725
372,1.2376512976483133e+18,25.196460000000002,24.72498,23.14452,258.177457380971,63.996028420140895,3.0,,,,,0.47148000000000323,1.5804599999999986
373,1.237651297648247e+18,19.76474,17.7311,16.76601,258.18167292831697,64.0535523095297,3.0,,,,,2.0336399999999983,0.96509
374,1.237651297648247e+18,20.77736,18.46987,17.49989,258.109816046191,64.0821264784882,3.0,,,,,2.3074900000000014,0.9699799999999996
375,1.237651297648247e+18,21.78164,25.11437,24.80303,258.180967348754,64.0188509992545,3.0,,,,,-3.3327300000000015,0.3113400000000013
376,1.237651297648247e+18,20.54597,18.41527,17.47009,258.286966881288,64.0270383388867,3.0,,,,,2.130700000000001,0.9451800000000006
377,1.2376512976482478e+18,22.64434,22.258689999999998,21.33399,258.022583665977,64.0123328160595,3.0,,,,,0.3856500000000018,0.9246999999999979
378,1.2376512976482478e+18,23.06296,23.21912,21.51238,258.023601482578,64.0154949289491,3.0,,,,,-0.15615999999999985,1.70674
379,1.2376512976483128e+18,23.5668,22.49083,22.14106,258.256339425747,64.02108196612079,3.0,,,,,1.0759700000000016,0.34976999999999947
381,1.2376513110700204e+18,22.641920000000002,20.74239,20.06221,258.354200547012,64.0390249001369,3.0,,,,,1.8995300000000022,0.68018
382,1.2376513110700206e+18,24.47762,22.52361,21.62343,258.32677222890703,64.032836195515,3.0,,,,,1.9540100000000002,0.9001800000000024
384,1.2376719398045614e+18,19.584789999999998,17.71295,16.78555,258.181636206375,64.0535395386398,3.0,1.2376719398045614e+18,258.18179,64.053546,0.08562605,1.8718399999999988,0.9273999999999987
385,1.2376719398045614e+18,21.055889999999998,18.8184,17.84799,258.109779737115,64.0821197520821,3.0,1.2376719398045614e+18,258.10986,64.082134,0.07948642,2.2374899999999975,0.9704100000000011
386,1.2376719398045617e+18,21.33672,19.59355,18.69633,258.18105474091703,64.01884693973349,3.0,,,,,1.7431699999999992,0.8972200000000008
387,1.2376719398045624e+18,23.701060000000002,22.34153,21.6958,258.109594086362,64.0934055718969,3.0,,,,,1.359530000000003,0.6457300000000004
388,1.237671939804563e+18,23.86459,23.29881,22.392,258.181215746474,64.1042870203998,3.0,,,,,0.5657800000000002,0.9068100000000001
389,1.237671939804627e+18,22.88343,22.06859,21.2775,258.35359028133803,64.0582954064336,3.0,,,,,0.8148400000000002,0.7910900000000005
390,1.237671939804627e+18,25.19484,22.69397,21.48902,258.35392516517396,64.0389503336272,3.0,,,,,2.500869999999999,1.2049500000000002
392,1.237671939804627e+18,24.45451,22.933310000000002,22.51934,258.309058812757,64.0592250681349,3.0,,,,,1.5211999999999968,0.4139700000000026
394,1.2376719398046282e+18,24.93143,23.35665,22.43983,258.256805856465,64.0831091034049,3.0,,,,,1.5747800000000005,0.9168199999999977
396,1.2376719398046282e+18,23.55154,23.47857,22.43649,258.354178264182,63.9969103116473,3.0,,,,,0.07296999999999798,1.0420800000000021
399,1.2376719398046275e+18,24.95755,24.9848,24.397660000000002,258.309133407542,64.0792901021924,3.0,,,,,-0.027249999999998664,0.587139999999998
401,1.2376719398046272e+18,20.27809,18.4358,17.50853,258.286882232042,64.02701840949939,3.0,,,,,1.8422899999999984,0.92727
402,1.237671939804563e+18,23.458779999999997,23.99034,22.74806,258.181891690166,64.02242166755279,3.0,,,,,-0.5315600000000025,1.242280000000001
404,1.2376719398045627e+18,23.53355,22.91508,22.06335,258.02349448319,64.0310840996121,3.0,,,,,0.6184700000000021,0.8517299999999999
